слово,дискретна тональність,усереднена тональність,дисперсія
епіцентр,0,"-0,3333333333","0,4714045208"
епічний,1,"0,6666666667","0,4714045208"
епопея,0,"-0,2222222222","1,0304020551"
епоха,0,0,0
епохальний,1,"0,6666666667","0,4714045208"
ергономічний,0,"0,4444444444","0,496903995"
ерос,0,0,0
еротичний,-1,-1,"0,8164965809"
есесівець,0,0,0
ескадра,0,0,0
есмінець,0,0,0
естафета,0,"0,4444444444","0,496903995"
естетичний,0,0,0
естетичний,1,"0,8","0,9797958971"
естонський,0,0,0
еталонний,0,"0,5","0,5"
етика,0,0,0
етичний,1,"0,5714285714","0,7284313591"
етичний,1,"0,75","0,4330127019"
етнічний,0,"0,25","0,4330127019"
етнографічний,0,"0,25","0,4330127019"
етнокультурний,0,"0,3333333333","0,4714045208"
етнос,0,0,0
ефект,1,"0,6666666667","0,4714045208"
ефективний,1,1,0
ефективність,2,"1,5","0,5"
ефективно,1,"1,3333333333","0,4714045208"
ефемерний,-1,"-0,6666666667","0,9428090416"
ефір,0,0,0
ефірний,0,0,0
євразійський,0,0,0
європеєць,0,0,0
європейський,0,0,0
єгипетський,0,0,0
єдиний,0,"-0,1111111111","0,5665577237"
єдиний,0,"0,3333333333","0,4714045208"
єдність,1,"0,6666666667","0,4714045208"
єзуїт,0,0,0
єкатеринбурзький,0,0,0
ємний,0,0,0
єресь,-1,-1,0
єрусалимський,0,0,0
єхидний,-2,"-1,6666666667","0,4714045208"
жаданий,1,1,"0,8164965809"
жадати,0,"-0,3333333333","0,4714045208"
жадібний,-1,"-1,3333333333","0,4714045208"
жадібність,-1,-1,"0,8164965809"
жалити,-1,"-0,6666666667","0,4714045208"
жалісливий,0,0,"0,8164965809"
жалісливий,1,"0,6666666667","0,4714045208"
жалісливий,1,"1,2222222222","0,7856742013"
жалісний,0,0,"0,8164965809"
жалість,0,"0,1111111111","0,8748897638"
жанровий,0,"0,1111111111","0,3142696805"
жарт,0,"0,3333333333","0,4714045208"
жартівливий,0,"0,2222222222","0,9162456946"
жартівливий,1,1,0
жартівник,0,"0,25","0,4330127019"
жахати,-1,"-1,1111111111","0,99380799"
жахатися,-1,"-1,3333333333","0,4714045208"
жахливий,-2,-2,0
жахливо,-2,-2,0
жахливо,-1,"-1,3333333333","0,9428090416"
жвавий,0,"0,3333333333","0,4714045208"
жебрак,-1,"-0,75","0,4330127019"
женевський,0,"-0,2222222222","0,4157397096"
жертва,-2,"-1,6666666667","0,4714045208"
жертводавець,0,"0,1111111111","0,7370277312"
жертвувати,-1,"-0,6666666667","0,4714045208"
жесть,0,"-0,3333333333","0,4714045208"
жетон,0,0,0
жетончик,0,0,0
живенько,0,"0,3333333333","0,9428090416"
живий,1,"0,6","0,4898979486"
живлення,0,0,0
животрепетне,1,1,"0,4714045208"
живучий,1,"0,75","0,4330127019"
жид,-1,"-0,6666666667","0,9428090416"
жидівський,-1,"-1,2222222222","0,6285393611"
жирний,0,"0,3333333333","0,4714045208"
житель,0,0,"0,8164965809"
жити,0,0,0
житіє,0,"0,2222222222","0,6285393611"
житловий,0,0,0
житлово-комунальний,0,0,0
життєвий,0,"0,4444444444","0,6849348892"
життєздатний,1,1,"0,8164965809"
життєрадісний,1,"1,3333333333","0,4714045208"
життєстверджуючий,1,1,0
жінка,0,"-0,3333333333","0,4714045208"
жіночий,0,0,0
жіночний,1,1,"0,8164965809"
жовтень,0,0,0
жовтий,0,0,0
жовтневий,0,0,0
жовчний,-1,"-0,6","0,4898979486"
жопа,-2,"-1,6666666667","0,4714045208"
жорсткість,0,"-0,2","0,7483314774"
жорстокий,-2,-2,0
жорстокість,-2,"-1,5","0,5"
жриця,0,"0,3333333333","0,4714045208"
жура,-1,"-1,3333333333","0,4714045208"
журнал,0,0,0
журналіст,0,0,0
журналістика,0,0,0
журналістка,0,0,0
журналістський,0,0,0
з'єднання,-1,"-0,6666666667","0,9428090416"
з'єднувати,0,"0,3333333333","0,4714045208"
з'єднуватися,0,0,0
з'ясовувати,0,"-0,3333333333","0,4714045208"
заарештований,-1,-1,0
забавляти,0,"0,3333333333","0,4714045208"
забавно,0,0,"0,8164965809"
забагато,0,"-0,3333333333","0,4714045208"
забайкальський,0,0,0
забезпечення,1,1,"0,8164965809"
забезпечувати,0,0,0
забивати,-1,-1,"0,8164965809"
заблокувати,0,"0,25","1,0897247359"
заблудлий,-1,-1,0
заблукати,-1,"-0,6666666667","0,6666666667"
заборгованість,-1,"-0,6666666667","0,4714045208"
заборона,0,"0,25","0,4330127019"
заборонний,-1,"-1,3333333333","0,4714045208"
забороняти,-1,-1,"0,8164965809"
заборонятися,-1,"-0,6666666667","0,7453559925"
забруднення,-1,"-0,8","0,4"
зав'язка,0,0,0
завалювати,0,"-0,3333333333","0,4714045208"
завантажувальний,0,0,0
завгодно,0,0,"0,8164965809"
завдання,0,0,0
завербовувати,-1,"-0,6666666667","0,4714045208"
завершувати,0,0,0
завершуватися,0,0,0
завжди,0,0,0
завзятий,-1,"-1,3333333333","0,4714045208"
завзятий,-1,"-0,6666666667","0,8164965809"
завзятий,1,1,0
завзятість,1,1,"0,8164965809"
завзято,0,"-0,3333333333","1,2472191289"
завивання,-1,"-0,7777777778","0,4157397096"
завивати,-1,"-0,6666666667","0,4714045208"
завідомий,0,"-0,3333333333","0,4714045208"
завідувати,0,0,0
завіряти,0,0,0
завод,0,-125,"0,3307189139"
завойовувати,0,"0,2","0,7483314774"
завоювання,0,"-0,1666666667","0,6871842709"
завтрашній,0,0,0
завчасний,1,"0,6666666667","0,4714045208"
загадка,0,"-0,1666666667","0,6871842709"
загадковий,0,"0,3333333333","0,4714045208"
загальний,0,"0,3333333333","0,4714045208"
загальний,0,0,0
загальновизнаний,0,"0,3333333333","0,4714045208"
загальновідомий,0,"0,3333333333","0,6666666667"
загальногромадянський,0,0,0
загальноєвропейський,0,"-0,3333333333","0,4714045208"
загальнолюдський,1,625,"0,4841229183"
загальнонародний,0,"0,3333333333","0,4714045208"
загальнополітичний,0,0,0
загальноприйнятий,0,0,0
загальноросійський,0,0,0
загальносвітовий,1,"0,6666666667","0,8164965809"
загарбник,-1,"-1,3333333333","0,4714045208"
загибель,-1,-1,0
загинути,-2,-2,0
загін,0,0,0
заглушати,0,"0,2222222222","0,4157397096"
заголовок,0,0,0
загоряння,0,0,0
загострення,-1,-1,0
загострюватися,-1,"-0,8333333333","0,6871842709"
загробний,0,"-0,3333333333","0,4714045208"
загрожувати,-2,"-1,6666666667","0,4714045208"
загроза,-1,"-1,25","0,4330127019"
загубити,-1,-1,0
задавлювати,-1,"-0,6","0,8"
задача,0,"-0,1111111111","0,3142696805"
задіювати,0,0,0
задовільний,0,"0,5","0,5"
задоволений,0,"0,3333333333","1,3743685419"
задоволення,0,"0,3333333333","0,4714045208"
задоволення,2,"1,6666666667","0,4714045208"
задовольняти,0,"0,2","1,166190379"
задовольнятися,0,"0,2","0,7483314774"
задумка,0,0,0
задушевний,1,1,"0,7071067812"
задушити,-1,-1,"0,8164965809"
зажертися,-2,"-1,6","0,4898979486"
заздрісний,-1,"-1,2222222222","0,4157397096"
заздрість,-1,"-1,3333333333","0,6666666667"
зайвий,-1,"-0,6666666667","0,4714045208"
зайнятість,0,0,0
зайобувати,-2,-2,0
закачувати,0,0,0
закидати,0,"-0,3333333333","0,4714045208"
закінчення,0,0,0
закладка,0,"0,2222222222","0,4157397096"
закликати,1,"0,6666666667","0,9428090416"
заклопотаність,-1,-1,0
заключний,0,0,0
заколот,0,"-0,3333333333","0,4714045208"
закомплексований,-1,-1,0
законно,0,0,0
законодавець,0,"-0,1666666667","0,3726779962"
законодавство,0,0,0
законодавчий,0,0,0
закопувати,0,0,0
закордон,0,0,0
закордонний,0,0,0
закоренілий,0,"-0,2222222222","1,1331154475"
закохуватися,1,"0,8","0,7483314774"
закрадатися,0,"-0,2","0,7483314774"
закриття,0,0,0
закріплювати,0,0,0
закупівля,0,0,0
закуповуватися,0,0,0
закурювати,1,"0,6666666667","0,9428090416"
залежати,0,"-0,5","0,5"
залежність,0,0,0
залізний,0,"0,3333333333","0,4714045208"
залучати,1,"0,6666666667","0,4714045208"
залучення,0,"-0,3333333333","0,4714045208"
залучення,0,"0,3333333333","0,4714045208"
залякування,-1,"-1,3333333333","0,4714045208"
заляпувати,0,"-0,3333333333","0,9428090416"
заманливий,1,"1,3333333333","0,4714045208"
замаскований,0,0,0
замах,-1,"-1,4444444444","0,6849348892"
замикати,-1,"-0,6666666667","0,4714045208"
замислюватися,0,"0,3333333333","0,4714045208"
замінний,0,"-0,2","0,4"
замкнутий,-1,-1,0
замовляти,0,0,0
замовник,0,0,0
замовчувати,-1,"-1,1111111111","0,7370277312"
замовчувати,-1,-1,0
заможний,0,"-0,3333333333","1,2472191289"
заможний,0,"0,2","0,7483314774"
заморожувати,0,"-0,1666666667","0,3726779962"
заморочуватися,-1,"-1,3333333333","0,4714045208"
заморський,0,0,0
занадто,0,"-0,3333333333","0,4714045208"
заначка,0,"0,3333333333","0,4714045208"
занепад,-1,"-1,3333333333","0,4714045208"
занепадницький,-1,"-1,3333333333","0,4714045208"
занепокоєння,-1,"-1,3333333333","0,4714045208"
заново,0,0,0
занудний,-1,-1,0
занудьгувати,-1,-1,"0,4714045208"
занурення,0,0,0
заняття,0,0,0
заокеанський,0,0,0
заохочення,0,0,"1,4142135624"
заохочувальний,1,"0,8888888889","0,8748897638"
заохочувати,0,"0,2222222222","0,9162456946"
заочний,0,0,0
заощадження,0,"0,25","0,4330127019"
заощадити,0,"0,3333333333","0,4714045208"
запалення,-1,"-0,8888888889","0,7370277312"
запальний,0,0,0
запаморочливий,-1,"-0,6666666667","1,2472191289"
запаморочливий,1,"1,3333333333","0,4714045208"
запах,0,"-0,1111111111","0,5665577237"
запеклий,-1,"-1,3333333333","0,4714045208"
запеклий,0,0,"0,8164965809"
заперечення,0,"-0,5","0,5"
заперечувати,-1,"-0,75","0,4330127019"
заперечувати,0,"-0,3333333333","0,4714045208"
записка,0,0,0
записуватися,0,0,0
запідозрювати,-1,-1,0
запізнення,-1,"-0,6666666667","0,4714045208"
запланувати,0,0,0
заплутувати,-1,-1,"0,4714045208"
запобігання,0,"-0,2","0,9797958971"
запобігати,1,1,"0,5345224838"
запобіжник,0,"0,2222222222","0,4157397096"
заповіт,0,0,"0,7071067812"
заповітний,1,"0,6666666667","0,4714045208"
заповнювати,0,"0,3333333333","0,4714045208"
заподіювати,0,"-0,3333333333","0,4714045208"
заподіяння,0,"-0,3333333333","0,4714045208"
запозичення,0,"0,3333333333","0,4714045208"
запорошений,0,"-0,3333333333","0,4714045208"
заправка,0,0,0
запрошення,0,"0,3333333333","0,4714045208"
запрошувати,0,0,0
запускати,0,"-0,3333333333","0,4714045208"
запущений,0,0,0
заражати,-1,"-0,6666666667","0,4714045208"
заражатися,-1,-1,"0,4714045208"
зараження,-1,"-1,2222222222","0,6285393611"
зараза,-2,"-1,6","0,4898979486"
зараховувати,0,0,0
зареєструватися,0,0,0
заривати,0,"-0,3333333333","0,4714045208"
зарізати,-2,"-1,5","0,5"
заробітний,0,0,0
заробіток,0,"-0,3333333333","0,4714045208"
заробітчанин,-1,-1,"0,8164965809"
заробляння,0,0,0
заробляти,0,"-0,3333333333","0,4714045208"
заручник,-1,"-1,3333333333","0,4714045208"
засвідчувати,0,0,0
засвічуватись,-1,-1,0
засівати,0,"0,3333333333","0,4714045208"
засідання,0,0,"0,5"
засідатель,0,0,0
засідка,-1,"-0,7777777778","0,6285393611"
заслуга,1,"0,6666666667","0,4714045208"
заслужений,1,"1,3333333333","0,4714045208"
заслужено,1,1,0
засмоктувати,0,"-0,3333333333","0,4714045208"
засмучувати,-1,-1,0
засмучуватися,-1,-1,"0,5773502692"
засмучуватися,-1,-1,0
засмучуватися,-1,"-1,25","0,4330127019"
засновник,0,0,0
засновувати,0,"0,3333333333","0,4714045208"
заснування,0,0,0
заснути,0,0,0
заспокійливий,0,0,"0,8164965809"
заспокоювати,1,"0,6666666667","0,7453559925"
заспокоюватися,1,"0,6666666667","0,4714045208"
застарівати,-1,-1,"0,8164965809"
застарілий,-1,"-1,3333333333","0,4714045208"
застереження,0,-125,"0,7806247498"
застійний,-1,-1,0
застосовуватися,0,"-0,1111111111","0,3142696805"
застосування,0,"-0,3333333333","0,4714045208"
застраховувати,0,0,0
застрелюватися,-1,"-1,3333333333","0,4714045208"
застрявати,0,"-0,3333333333","0,4714045208"
заступник,0,0,0
засуджувати,-1,"-0,6666666667","0,4714045208"
засуджувати,0,"-0,5","0,7637626158"
затверджуватися,0,0,0
затишний,1,"1,3333333333","0,4714045208"
затівати,0,"-0,1666666667","0,3726779962"
затоплення,-1,-1,0
затоплювати,-1,"-0,6666666667","0,4714045208"
затрачувати,0,"-0,2","0,7483314774"
затребувати,0,"0,1111111111","0,3142696805"
затримання,0,"-0,2222222222","0,6285393611"
затримувати,0,"-0,3333333333","0,7453559925"
затьмарювати,0,0,"0,632455532"
затягувати,0,"-0,3333333333","0,4714045208"
затягуватися,-1,"-0,6666666667","0,4714045208"
затяжний,0,"-0,3333333333","0,4714045208"
затятий,0,"-0,3333333333","0,9428090416"
зауваження,-1,"-0,6666666667","0,4714045208"
зафіксувати,0,0,0
захват,0,"0,25","1,2990381057"
захват,2,"1,6666666667","0,4714045208"
захворювання,-1,-1,"0,8164965809"
захисний,0,"0,3333333333","0,4714045208"
захист,1,"0,7777777778","0,6285393611"
захищатися,0,0,0
захищеність,0,"0,5","0,5"
західний,0,0,0
західноєвропейський,0,0,0
захлинаючись,0,0,0
захмарний,0,"0,3333333333","1,2472191289"
заховати,-1,"-0,6666666667","0,9428090416"
захоплений,0,"-0,3333333333","0,4714045208"
захоплений,1,"0,6666666667","0,4714045208"
захоплення,-1,-1,"0,8164965809"
захоплення,2,"1,75","0,4330127019"
захоплювати,-1,"-1,3333333333","0,4714045208"
захоплювати,0,"0,3333333333","0,4714045208"
захоплювати,2,"1,5555555556","0,496903995"
захоплюватися,0,"0,3333333333","0,4714045208"
захоплюватися,2,"1,5","0,5"
захоплюючий,1,"1,3333333333","0,4714045208"
захотітися,0,0,0
зациклюватися,-1,-1,0
зацікавлювати,1,"0,6666666667","0,4714045208"
зацікавлюватися,0,0,0
заціплювати,0,0,0
зачаровувати,1,1,"0,755928946"
зачепив,0,0,0
зачепити,0,0,0
зачитувати,0,0,0
зачіпати,0,0,0
зашкалювати,-1,"-0,6666666667","0,4714045208"
зашкарублий,-1,-1,0
заявник,0,0,0
збагачення,0,"0,3333333333","1,6996731712"
збагачувальний,0,"0,25","0,4330127019"
збанкрутувати,-1,"-1,4","0,4898979486"
збереження,0,"0,2222222222","0,6285393611"
зберігання,0,0,0
зберігати,0,0,0
зберігатися,0,0,0
збивати,0,0,"0,8164965809"
збиратися,0,0,0
збитковий,-1,"-1,3333333333","0,4714045208"
збиток,-1,"-1,25","0,4330127019"
збиток,-1,"-1,2","0,4"
збіг,0,"0,2","0,4"
збігатися,0,"0,5","0,5"
збільшення,0,"-0,3333333333","0,4714045208"
збільшувати,1,"0,75","0,8291561976"
збільшуватися,0,"0,3333333333","0,4714045208"
збір,0,0,0
зближення,1,"0,6666666667","0,4714045208"
збори,0,"-0,3333333333","0,4714045208"
збочення,-1,"-1,25","0,4330127019"
збочувати,-1,"-1,3333333333","0,6666666667"
збройовий,0,0,0
зброя,-1,"-0,8333333333","0,8975274679"
збувати,0,"-0,3333333333","0,4714045208"
збудження,0,"0,3333333333","0,4714045208"
збудник,-1,"-0,7777777778","0,6285393611"
зважувати,0,0,0
звалище,0,0,"0,8164965809"
звалювати,-1,"-1,25","0,4330127019"
звалюватися,-1,-1,"0,8164965809"
зведення,0,"0,2","0,4"
звернення,0,0,0
звертати,0,0,0
звинувачення,-1,"-0,75","0,4330127019"
звинувачувати,-1,"-1,25","0,4330127019"
звинувачувати,-1,-1,"0,632455532"
звичайний,0,0,0
звільнення,-1,-1,0
звільнення,1,"0,6666666667","0,4714045208"
звільняти,-1,"-0,6666666667","0,6666666667"
звільняти,1,1,"0,4714045208"
звільнятися,0,"-0,3333333333","0,4714045208"
звільнятися,1,"1,25","0,4330127019"
звіріти,-1,"-1,3333333333","0,4714045208"
звірство,-2,-2,0
звіт,0,0,0
звітність,0,0,0
звітувати,-1,"-0,6666666667","0,4714045208"
зволікати,-1,"-0,6666666667","0,4714045208"
зворушливий,0,0,1
зворушливий,1,"1,3333333333","0,4714045208"
згадка,0,0,0
згадуватися,0,0,0
згвалтування,-2,-2,0
згвалтувати,-2,-2,0
згодитися,0,"0,3333333333","0,6666666667"
згодом,0,0,0
зграя,-1,"-1,3333333333","0,9428090416"
згубний,-1,"-1,3333333333","0,8164965809"
згубний,-1,"-1,3333333333","0,4714045208"
здатний,0,0,0
здивування,0,0,"0,8164965809"
здирство,-1,"-1,3333333333","0,4714045208"
здійснення,0,0,0
здійснювати,0,"-0,1111111111","0,5665577237"
здійснювати,0,0,0
здійснюватися,0,"0,3333333333","0,4714045208"
здобувати,0,0,0
здогадуватися,0,"0,3333333333","0,4714045208"
здогадуватися,0,"-0,3333333333","0,4714045208"
здорово,0,"0,3333333333","0,4714045208"
здорожчати,-1,"-0,6666666667","0,4714045208"
здохнути,-2,-2,0
здравий,1,"0,6666666667","0,4714045208"
здраво,1,1,0
здравомислячий,1,1,0
здравствувати,0,"0,3333333333","0,4714045208"
здригатися,0,"-0,3333333333","0,4714045208"
здригатися,0,0,"0,8164965809"
зебра,0,0,0
зек,-1,"-0,6666666667","0,4714045208"
зелений,0,"-0,1111111111","0,3142696805"
земельний,0,0,0
землевласник,0,0,0
зенітний,0,0,0
зерно,0,"0,1111111111","0,3142696805"
зіграти,0,"0,3333333333","0,4714045208"
зіпсувати,-1,"-1,3333333333","0,4714045208"
зіпсуватися,-1,-1,0
зірка,1,1,"0,8164965809"
зіткнення,-1,-1,"0,8164965809"
злазити,0,"-0,3333333333","0,4714045208"
зламатися,-1,"-0,6666666667","0,4714045208"
зламувати,-1,-1,0
златоуст,0,0,0
зле,-1,-1,0
зливати,-1,-1,"0,8164965809"
зливатися,0,0,0
злидні,-1,"-1,3333333333","0,4714045208"
злий,-1,"-1,3333333333","0,4714045208"
злитися,-1,-1,0
злиття,1,"0,6666666667","0,4714045208"
злісний,-2,-2,0
злісний,-1,"-1,3333333333","0,4714045208"
злість,-2,"-1,5","0,5"
злітати,0,0,0
зло,-1,"-1,3333333333","0,4714045208"
злободенний,0,"-0,3333333333","0,4714045208"
зловживання,-2,"-1,6666666667","0,4714045208"
зловмисний,-1,"-1,3333333333","0,4714045208"
зловмисник,-2,-2,0
злодіяння,-2,"-1,6666666667","0,4714045208"
злом,-1,"-0,6666666667","0,7453559925"
злопам'ятний,-1,"-1,2222222222","0,4157397096"
злорадний,-1,"-1,3333333333","0,4714045208"
злочин,-1,"-1,25","0,4330127019"
злочинний,-1,"-1,3333333333","0,4714045208"
злощасний,-1,-1,0
злоякісний,-1,"-1,1111111111","0,8748897638"
злякатися,-1,"-0,8333333333","1,3437096247"
змагатися,0,"-0,3333333333","0,4714045208"
зменшувальний,0,"-0,1111111111","0,99380799"
зменшувати,0,"-0,3333333333","0,4714045208"
зменшуватися,0,"-0,3333333333","0,4714045208"
зміна,0,0,0
змінювати,0,0,0
змінюватися,0,"-0,2222222222","0,7856742013"
змістовний,0,"-0,25","1,0897247359"
змітати,-1,"-0,6666666667","0,4714045208"
зміцнення,1,"0,6666666667","0,4714045208"
зміцнювати,0,"0,5","0,5"
зміцнюватися,0,"0,4","0,8"
змішувати,0,"-0,3333333333","0,4714045208"
змова,-1,-1,0
змова,-1,"-1,2","0,7483314774"
змовник,-1,-1,"0,8164965809"
змучений,-1,"-1,3333333333","0,4714045208"
змушувати,-1,"-0,6666666667","0,4714045208"
змушувати,-1,"-0,6666666667","0,9428090416"
знадобитися,0,0,0
знаменитий,0,"0,3333333333","0,4714045208"
знаменний,1,1,"0,6666666667"
знатний,0,"0,3333333333","0,4714045208"
знахідка,0,"0,3333333333","0,4714045208"
знаходження,0,"0,3","0,4582575695"
значення,0,"0,4444444444","0,496903995"
значимість,0,"0,3333333333","0,4714045208"
значитися,0,0,0
значний,1,1,0
значний,1,1,"0,8164965809"
знеболювати,0,0,0
зневажливий,-1,-1,"0,6666666667"
зневажливий,-1,"-1,3333333333","0,6666666667"
знехотя,-1,"-0,8333333333","0,3726779962"
знешкоджувати,1,"0,8333333333","0,6871842709"
зниження,0,"-0,3333333333","0,4714045208"
знижувати,0,0,0
знижуватися,-1,"-0,6666666667","0,9428090416"
зникати,0,"-0,5","0,8660254038"
знищення,-1,-1,"0,8164965809"
знищувати,-1,"-1,3333333333","0,4714045208"
знищуватися,-1,"-0,6666666667","0,7453559925"
знімальний,0,0,0
зніяковілість,-1,-1,0
знову,0,0,0
знос,-1,"-0,6666666667","0,4714045208"
знущальний,-1,"-1,2222222222","0,6285393611"
знущатися,-2,-2,0
зняття,0,0,0
зобов'язання,0,"0,4444444444","0,6849348892"
зобов'язувати,-1,"-0,6666666667","0,4714045208"
зобов'язуватися,0,0,0
зовнішній,0,0,0
зовнішньополітичний,0,"0,1111111111","0,3142696805"
золотий,1,"0,6666666667","0,4714045208"
золото,0,0,0
зомбі,-1,"-1,1111111111","0,5665577237"
зомбувати,-1,"-1,2222222222","0,4157397096"
зона,0,"-0,3333333333","0,4714045208"
зоряний,0,"-0,3333333333","0,4714045208"
зошит,0,0,0
зрада,-2,"-1,6666666667","0,4714045208"
зрада,-2,"-1,75","0,4330127019"
зраджувати,-1,"-0,6666666667","0,7453559925"
зрадіти,0,"0,3333333333","1,6996731712"
зразок,0,"0,4","0,4898979486"
зречення,0,0,"0,8164965809"
зривати,-1,"-1,3333333333","0,4714045208"
зрозумілий,0,"0,3333333333","0,4714045208"
зручний,1,"0,6666666667","0,4714045208"
зручність,1,"0,5555555556","0,496903995"
зручно,1,"0,6666666667","0,4714045208"
зрушуватися,0,0,0
зсув,-1,-1,"0,8164965809"
зубожілий,-1,-1,0
зуміти,0,"0,3333333333","0,4714045208"
зупинка,-1,"-0,6666666667","0,9428090416"
зупинятися,0,0,0
зусилля,0,"0,5","0,5"
зустріч,0,"0,1111111111","0,3142696805"
зухвалий,1,"0,6666666667","0,4714045208"
зять,0,0,0
іврит,0,0,0
іграшка,0,0,0
іграшковий,0,"-0,3333333333","0,4714045208"
ідеал,1,"0,6666666667","0,4714045208"
ідеалізм,1,"0,6666666667","0,8164965809"
ідеальний,1,"1,4","0,4898979486"
ідейний,1,1,0
ідентифікація,0,0,0
ідентифікувати,0,0,0
ідентичний,0,0,0
ідеолог,0,0,"0,632455532"
ідеологічний,0,0,0
ідеологія,0,0,0
ідіот,-1,"-1,3333333333","0,4714045208"
ідіотизм,-2,"-1,6666666667","0,4714045208"
ідіотський,-2,"-1,8333333333","0,3726779962"
ідіотський,-1,-1,"0,8164965809"
ієрархія,0,0,0
ієрогліф,0,0,0
ізмайловський,0,0,0
ізолювати,0,"-0,3333333333","0,9428090416"
ізоляція,0,"-0,3333333333","0,4714045208"
ізраїльський,0,0,0
ізраїльтянин,0,0,0
ікона,0,0,0
ілюзія,-1,-1,"0,8164965809"
ілюзорний,0,"0,3333333333","0,8164965809"
ім'я,0,0,0
іменитий,0,0,0
іменний,0,"0,3333333333","0,4714045208"
імеретинський,0,0,0
імідж,0,"0,1666666667","0,3726779962"
іммігрант,0,0,0
імміграційний,0,0,0
імміграція,0,0,0
імператорський,1,"0,5555555556","0,9558139186"
імперіалістичний,0,"-0,2222222222","0,6285393611"
імперія,0,0,0
імперський,0,"0,3333333333","0,4714045208"
імпонувати,1,1,0
імпорт,0,0,0
імпортний,0,0,0
імпортувати,0,0,0
імпульс,0,"0,3333333333","0,4714045208"
імпульсивний,0,"-0,2222222222","0,9162456946"
імунітет,1,"0,5555555556","0,6849348892"
ін'єкція,0,0,0
інавгурація,0,0,0
інвалід,-1,"-0,6666666667","0,4714045208"
інвалідність,-1,"-1,3333333333","0,9428090416"
інвестиційний,0,0,0
інвестиція,0,"-0,3333333333","0,4714045208"
інвестор,0,0,0
інвестувати,0,0,0
індексація,0,"0,3333333333","0,4714045208"
індивідуальний,0,0,0
індикатор,0,0,0
індиферентний,-1,"-0,6666666667","0,9428090416"
індонезійська,0,0,0
індульгенція,1,"0,6666666667","1,2472191289"
індустріалізація,0,"0,3333333333","0,4714045208"
індустріальний,0,0,0
індустрія,0,0,0
інженер,0,0,0
інженерний,0,0,0
ініціатива,0,"0,25","0,4330127019"
ініціативний,0,"0,3333333333","0,4714045208"
ініціювати,0,0,0
інноваційний,1,1,"0,8164965809"
інновація,0,0,0
іноземець,0,"-0,2222222222","0,6285393611"
іноземний,0,0,0
іномарка,0,0,0
інопланетний,0,0,0
інородець,-1,"-0,6666666667","0,4714045208"
інстинктивний,0,"-0,1111111111","0,5665577237"
інститут,0,0,0
інструмент,0,0,0
інсульт,-1,"-1,3333333333","0,4714045208"
інтеграційний,0,"0,2222222222","0,4157397096"
інтеграція,1,"0,6666666667","0,4714045208"
інтегрувати,0,0,0
інтегруватися,0,"0,1666666667","0,3726779962"
інтелект,0,"0,3333333333","0,4714045208"
інтелектуал,1,"0,6666666667","0,4714045208"
інтелектуальний,1,1,"0,7071067812"
інтелігент,0,0,"0,8164965809"
інтелігентний,1,1,"0,8164965809"
інтелігентський,0,"-0,3333333333","0,4714045208"
інтелігенція,1,"0,75","0,8291561976"
інтенсивний,1,"0,6666666667","0,4714045208"
інтенсивність,0,0,0
інтервенція,-1,"-0,6666666667","0,9428090416"
інтерес,0,"0,3333333333","0,4714045208"
інтернаціоналіст,0,0,0
інтернаціональний,0,0,0
інтернет,0,0,0
інтимний,0,0,0
інтонація,0,0,0
інтрига,0,0,0
інтригувати,0,0,"0,7071067812"
інтуїтивний,0,0,0
інфантильний,-1,-1,"0,4714045208"
інфаркт,-1,"-1,1111111111","0,7370277312"
інфекція,-2,"-1,6666666667","0,4714045208"
інфернальний,-1,"-0,6666666667","0,4714045208"
інфляція,0,0,0
інформаційний,0,0,0
інформувати,1,"0,5555555556","0,6849348892"
інфраструктура,0,0,0
інфраструктурний,0,0,0
інцест,-1,-1,"0,8164965809"
інцидент,-1,"-1,1111111111","0,7370277312"
іпотека,0,0,0
іпотечний,0,"-0,4","0,8"
іракський,-1,"-0,5555555556","0,8314794193"
іранський,0,0,0
іржавий,-1,-1,"0,8164965809"
іркутський,0,0,0
іронічний,0,"-0,3333333333","0,4714045208"
іронічний,0,0,"0,8164965809"
іслам,0,"-0,2","0,4"
ісламіст,-1,"-0,6666666667","0,4714045208"
ісламістський,-1,"-0,6666666667","0,4714045208"
ісламський,0,0,0
ісландський,0,0,0
існування,0,"-0,1111111111","0,5665577237"
іспанська,0,0,0
іспит,0,0,0
істеричний,-1,"-1,2222222222","0,4157397096"
істеричний,-1,-1125,"0,3307189139"
істинний,1,"0,6666666667","0,8164965809"
істинно,1,"0,6666666667","0,4714045208"
історичний,0,0,0
історія,0,0,0
істота,0,"0,1111111111","0,3142696805"
італійка,0,0,0
іудаїзм,0,0,0
іудей,0,0,0
іудейський,0,0,0
їдкий,-1,-1,"0,8164965809"
їзда,0,0,0
ймовірний,0,0,0
ймовірнісний,0,0,0
ймовірність,0,"0,3333333333","0,4714045208"
йог,0,0,0
кабельний,0,0,0
кабінет,0,0,0
кавалер,0,"0,3333333333","0,4714045208"
кавалерія,0,0,0
кавказець,0,"-0,4","0,4898979486"
кавказький,0,0,0
кадастровий,0,0,0
кадровий,0,0,0
казах,0,0,0
казахстанський,0,0,0
казенний,0,0,0
казначейство,0,0,0
календарний,0,0,0
калінінградець,0,"0,25","0,4330127019"
калінінградський,0,0,0
каліцтво,-1,-1,"0,7071067812"
